1 threads,2259ms
1 threads,2321ms
1 threads,2257ms
1 threads,2274ms
1 threads,2226ms
1 threads,2206ms
1 threads,2250ms
1 threads,2270ms
1 threads,2313ms
1 threads,2269ms
2 threads,2092ms
2 threads,2113ms
2 threads,2104ms
2 threads,2042ms
2 threads,2041ms
2 threads,2150ms
2 threads,2124ms
2 threads,2157ms
2 threads,2084ms
2 threads,2106ms
4 threads,2032ms
4 threads,1968ms
4 threads,2016ms
4 threads,1998ms
4 threads,2052ms
4 threads,1933ms
4 threads,1969ms
4 threads,1969ms
4 threads,2012ms
4 threads,2037ms
8 threads,2118ms
8 threads,2027ms
8 threads,2006ms
8 threads,2079ms
8 threads,2051ms
8 threads,2037ms
8 threads,2063ms
8 threads,2124ms
8 threads,2172ms
8 threads,2011ms
16 threads,2126ms
16 threads,2202ms
16 threads,2178ms
16 threads,2200ms
16 threads,2190ms
16 threads,2210ms
16 threads,2238ms
16 threads,2235ms
16 threads,2254ms
16 threads,2201ms